83,80,,2019-5-5 00:00:00,-900.00 kr,-67.00 kr,-967.00 kr,,1,"Inköp"
84,81,,2019-5-5 00:00:00,-400.00 kr,-151.00 kr,-551.00 kr,,3,"Inköp"
85,82,,2019-5-8 00:00:00,-1000.00 kr,-121.00 kr,-1121.00 kr,,3,"Inköp"
86,83,,2019-5-13 00:00:00,-1281.00 kr,-100.00 kr,-1381.00 kr,,1,"Inköp"
87,84,,2019-5-17 00:00:00,-590.00 kr,-130.00 kr,-720.00 kr,,1,"Inköp"
88,85,4,2019-5-21 00:00:00,-1832.10 kr,-246.70 kr,-2078.80 kr,,5,"Inköp"
89,86,4,2019-5-21 00:00:00,-188.50 kr,0.00 kr,-188.50 kr,,5,"Inköp"
90,87,4,2019-5-21 00:00:00,-188.50 kr,0.00 kr,-188.50 kr,,5,"Inköp"
91,88,4,2019-5-21 00:00:00,-188.50 kr,0.00 kr,-188.50 kr,,5,"Inköp"
92,89,4,2019-5-21 00:00:00,-188.50 kr,0.00 kr,-188.50 kr,,5,"Inköp"
93,90,,2019-5-24 00:00:00,-1500.00 kr,-140.00 kr,-1640.00 kr,,6,"Inköp"
94,91,,2019-5-29 00:00:00,-467.00 kr,-39.00 kr,-506.00 kr,,1,"Inköp"
95,92,,2019-6-4 00:00:00,-600.00 kr,-43.00 kr,-643.00 kr,,3,"Inköp"
96,93,,2019-6-4 00:00:00,-600.00 kr,-43.00 kr,-643.00 kr,,3,"Inköp"
97,94,,2019-6-4 00:00:00,-600.00 kr,-43.00 kr,-643.00 kr,,3,"Inköp"
98,95,,2019-7-7 00:00:00,-1158.00 kr,-67.00 kr,-1225.00 kr,,1,"Inköp"
99,96,,2019-7-7 00:00:00,-752.00 kr,-75.00 kr,-827.00 kr,,1,"Inköp"
100,97,51,2019-7-15 00:00:00,-100.00 kr,0.00 kr,-100.00 kr,,4,"Inköp"
101,98,51,2019-7-15 00:00:00,-400.00 kr,0.00 kr,-400.00 kr,,4,"Inköp"
102,99,51,2019-7-15 00:00:00,-400.00 kr,0.00 kr,-400.00 kr,,4,"Inköp"
103,100,51,2019-7-15 00:00:00,-400.00 kr,0.00 kr,-400.00 kr,,4,"Inköp"
104,101,51,2019-7-15 00:00:00,-400.00 kr,0.00 kr,-400.00 kr,,4,"Inköp"
105,102,51,2019-7-15 00:00:00,-400.00 kr,0.00 kr,-400.00 kr,,4,"Inköp"
106,103,51,2019-7-15 00:00:00,-400.00 kr,0.00 kr,-400.00 kr,,4,"Inköp"
107,104,,2019-7-23 00:00:00,-507.00 kr,-67.00 kr,-574.00 kr,,1,"Inköp"
108,105,,2019-7-25 00:00:00,-670.00 kr,-75.00 kr,-745.00 kr,,1,"Inköp"
109,106,,2019-7-29 00:00:00,-949.56 kr,-265.91 kr,-1215.47 kr,,2,"Inköp"
110,107,,2019-8-4 00:00:00,-1500.00 kr,-130.00 kr,-1630.00 kr,,3,"Inköp"
111,108,,2019-8-10 00:00:00,-1200.00 kr,0.00 kr,-1200.00 kr,,12,"Inköp"
112,109,,2019-9-27 00:00:00,-1560.00 kr,-75.00 kr,-1635.00 kr,,1,"Inköp"
113,110,,2019-10-20 00:00:00,-920.00 kr,-67.00 kr,-987.00 kr,,1,"Inköp"
114,111,,2019-11-3 00:00:00,-831.00 kr,-54.00 kr,-885.00 kr,,1,"Inköp"
116,112,,2019-11-12 00:00:00,-1800.00 kr,-100.00 kr,-1900.00 kr,,6,"Inköp"
117,113,22,2019-11-24 00:00:00,-645.00 kr,-59.00 kr,-704.00 kr,,1,"Inköp"
118,114,23,2019-12-1 00:00:00,-2393.00 kr,-364.00 kr,-2757.00 kr,,2,"Inköp"
119,115,21,2020-1-5 00:00:00,-1230.00 kr,-75.00 kr,-1305.00 kr,,1,"Inköp"
120,116,20,2020-1-9 00:00:00,-955.00 kr,-67.00 kr,-1022.00 kr,,1,"Inköp"
121,117,19,2020-1-15 00:00:00,-1280.00 kr,-67.00 kr,-1347.00 kr,,1,"Inköp"
122,118,18,2020-2-18 00:00:00,-295.00 kr,-59.00 kr,-354.00 kr,,1,"Inköp"
123,119,17,2020-2-19 00:00:00,-1500.00 kr,0.00 kr,-1500.00 kr,,13,"Inköp"
124,120,16,2020-3-17 00:00:00,-145.00 kr,-67.00 kr,-212.00 kr,,1,"Inköp"
125,121,15,2020-3-22 00:00:00,-270.00 kr,-59.00 kr,-329.00 kr,,1,"Inköp"
126,122,14,2020-3-23 00:00:00,-960.00 kr,-119.00 kr,-1079.00 kr,,1,"Inköp"
127,123,13,2020-4-27 00:00:00,-1429.00 kr,0.00 kr,-1429.00 kr,,1,"Inköp"
128,124,12,2020-8-7 00:00:00,-1380.00 kr,-67.00 kr,-1447.00 kr,,1,"Inköp"
129,125,11,2020-8-16 00:00:00,-970.00 kr,-67.00 kr,-1037.00 kr,,1,"Inköp"
130,126,7,2020-8-18 00:00:00,-1500.00 kr,-122.00 kr,-1622.00 kr,,3,"Inköp"
131,127,10,2020-8-29 00:00:00,-315.00 kr,-89.00 kr,-404.00 kr,,1,"Inköp"
132,128,5,2020-9-3 00:00:00,-375.00 kr,-67.00 kr,-442.00 kr,,1,"Inköp"
133,122,2,2020-7-22 00:00:00,0.00 kr,0.00 kr,0.00 kr,"I utbyte mot Japansk yxa",4,"Försäljning"
134,129,8,2020-9-10 00:00:00,-778.00 kr,-29.67 kr,-807.67 kr,"129-131, samfrakt 89kr",1,"Inköp"
135,130,8,2020-9-10 00:00:00,-875.00 kr,-29.67 kr,-904.67 kr,"129-131, samfrakt 89kr",1,"Inköp"
136,131,8,2020-9-10 00:00:00,-1630.00 kr,-29.67 kr,-1659.67 kr,"129-131, samfrakt 89kr",1,"Inköp"
137,132,9,2020-9-14 00:00:00,-242.50 kr,-33.50 kr,-276.00 kr,"132-133, samfrakt 67kr",1,"Inköp"
138,133,9,2020-9-14 00:00:00,-242.50 kr,-33.50 kr,-276.00 kr,"132-133, samfrakt 67kr",1,"Inköp"
139,134,20,2020-1-9 00:00:00,-654.00 kr,-67.00 kr,-721.00 kr,,1,"Inköp"
140,135,26,2020-9-28 00:00:00,-620.00 kr,-67.00 kr,-687.00 kr,"Köpt åt Geir",1,"Inköp"
141,135,25,2020-10-12 00:00:00,687.00 kr,185.00 kr,872.00 kr,"Köpt åt Geir",3,"Försäljning"
142,136,27,2020-10-25 00:00:00,-1030.00 kr,-75.00 kr,-1105.00 kr,,1,"Inköp"
143,137,28,2020-11-4 00:00:00,-295.00 kr,-67.00 kr,-362.00 kr,,1,"Inköp"
144,138,29,2020-11-23 00:00:00,-210.00 kr,-95.00 kr,-305.00 kr,,1,"Inköp"
145,140,32,2021-2-8 00:00:00,-450.00 kr,-149.00 kr,-599.00 kr,,1,"Inköp"
146,139,31,2021-2-8 00:00:00,-1000.00 kr,-120.00 kr,-1120.00 kr,,15,"Inköp"
147,141,34,2021-3-28 00:00:00,-230.00 kr,-67.00 kr,-297.00 kr,,1,"Inköp"
148,142,35,2021-5-11 00:00:00,-2000.00 kr,-100.00 kr,-2100.00 kr,,3,"Inköp"
149,143,35,2021-5-11 00:00:00,-5000.00 kr,-100.00 kr,-5100.00 kr,,3,"Inköp"
150,144,36,2021-5-15 00:00:00,-250.00 kr,-59.00 kr,-309.00 kr,,1,"Inköp"
151,145,37,2021-5-15 00:00:00,-2650.00 kr,-89.00 kr,-2739.00 kr,,1,"Inköp"
152,147,38,2021-8-6 00:00:00,-210.00 kr,-66.00 kr,-276.00 kr,,1,"Inköp"
153,148,39,2021-9-22 00:00:00,-355.00 kr,-67.00 kr,-422.00 kr,,1,"Inköp"
154,149,40,2021-8-19 00:00:00,-190.00 kr,-117.00 kr,-307.00 kr,,1,"Inköp"
155,150,41,2021-10-25 00:00:00,-375.00 kr,-99.00 kr,-474.00 kr,,1,"Inköp"
156,151,42,2022-2-5 00:00:00,-695.00 kr,-59.00 kr,-754.00 kr,,1,"Inköp"
157,152,43,2022-3-16 00:00:00,-1918.00 kr,-200.00 kr,-2118.00 kr,"1500kr bud, 80kr slagavgift, 338kr köparprovision",16,"Inköp"
158,153,44,2022-3-27 00:00:00,-709.00 kr,-59.00 kr,-768.00 kr,,1,"Inköp"
159,154,47,2022-4-15 00:00:00,-1329.00 kr,-79.00 kr,-1408.00 kr,,1,"Inköp"
160,155,48,2022-4-24 00:00:00,-2000.00 kr,0.00 kr,-2000.00 kr,,17,"Inköp"
161,156,49,2022-6-3 00:00:00,-195.00 kr,-63.00 kr,-258.00 kr,,1,"Inköp"
162,157,50,2022-8-28 00:00:00,-1239.00 kr,-79.00 kr,-1318.00 kr,,1,"Inköp"
163,158,28,2022-11-28 00:00:00,-1348.00 kr,-63.00 kr,-1411.00 kr,,1,"Inköp"
164,159,52,2023-2-23 00:00:00,-900.00 kr,-150.00 kr,-1050.00 kr,,15,"Inköp"
165,160,53,2023-8-20 00:00:00,-7483.00 kr,-79.00 kr,-7562.00 kr,,1,"Inköp"
166,161,54,2023-9-28 00:00:00,-300.00 kr,-59.00 kr,-359.00 kr,,1,"Inköp"
167,162,55,2024-2-3 00:00:00,-206.00 kr,-28.00 kr,-234.00 kr,,1,"Inköp"
168,163,55,2024-2-3 00:00:00,-206.00 kr,-28.00 kr,-234.00 kr,,1,"Inköp"
169,164,56,2024-3-3 00:00:00,-549.00 kr,-92.00 kr,-641.00 kr,,1,"Inköp"
170,165,51,2024-3-11 00:00:00,-250.00 kr,0.00 kr,-250.00 kr,,4,"Inköp"
171,166,51,2024-3-11 00:00:00,-250.00 kr,0.00 kr,-250.00 kr,,4,"Inköp"
172,167,59,2024-7-26 00:00:00,-420.00 kr,-73.00 kr,-493.00 kr,,1,"Inköp"
173,168,60,2024-8-4 00:00:00,-4200.00 kr,-78.00 kr,-4278.00 kr,,1,"Inköp"
174,169,62,2024-8-31 00:00:00,-2215.00 kr,-65.00 kr,-2280.00 kr,,1,"Inköp"
175,170,64,2025-1-29 00:00:00,-2694.61 kr,-263.47 kr,-2958.08 kr,,7,"Inköp"
176,171,65,2025-2-25 00:00:00,-1052.00 kr,-73.00 kr,-1125.00 kr,,1,"Inköp"
177,172,69,2025-6-15 00:00:00,-945.00 kr,-72.00 kr,-1017.00 kr,,1,"Inköp"
178,173,69,2025-6-15 00:00:00,-820.00 kr,-72.00 kr,-892.00 kr,,1,"Inköp"
